,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
7127,7127,-1851765.0409941399,-1850935.881359868,6136537.613884693,-5026.892752514505,-5027.324434760259,-3033.3023235309565,50.5,6671733.189936603,0,0.0008699998902495042,1.8520430573566942,0,0.0002325467110525879,0,0,0.6799741153363771,0.73453884533459
7128,7128,-1856790.6898911118,-1855961.9624954427,6133500.193977087,-5024.403917180172,-5024.8367120428575,-3041.536812213077,50.5,6671733.181985584,0,0.0008699998902495042,1.8528272275816209,0,0.00023263830719497602,0,0,0.703552114265663,0.7566061186611346
7129,7129,-1861813.8465805585,-1860985.5525358184,6130454.541621046,-5021.908338021049,-5022.342244919771,-3049.767218558378,50.5,6671733.174031428,0,0.0008699998902495042,1.8536111870268894,0,0.0002327301408424012,0,0,0.7069161309233944,0.7599741103852491
7130,7130,-1866834.5043203288,-1866006.644738263,6127400.660904432,-5019.406018386635,-5019.841036739005,-3057.993531519891,50.5,6671733.166074127,0,0.0008699998902495042,1.8543949349779811,0,0.00023282221174608002,0,0,0.7075862217661106,0.7608977951815946
7131,7131,-1871852.656371626,-1871025.2323633963,6124338.555926149,-5016.89696163548,-5017.333090857618,-3066.215740056143,50.5,6671733.158113676,0,0.0008699998902495042,1.8551784707193986,0,0.0002329145196560337,0,0,0.7170120469092933,0.7697797769515825
7132,7132,-1876868.2959990166,-1876041.3086752,6121268.230796141,-5014.381171135174,-5014.818410641709,-3074.4338331311706,50.5,6671733.150150066,0,0.0008699998902495042,1.8559617935346622,0,0.00023300706432116648,0,0,0.7286344257955246,0.7806978985992629
7133,7133,-1881881.4164704387,-1881054.8669410264,6118189.689635384,-5011.858650262346,-5012.296999466417,-3082.6477997145316,50.5,6671733.142183284,0,0.0008699998902495042,1.8567449027063074,0,0.00023309984548922205,0,0,0.7094443611090194,0.7634080494468484
7134,7134,-1886892.0110572123,-1886065.9004316076,6115102.936575884,-5009.329402402658,-5009.768860715915,-3090.857628781324,50.5,6671733.13421333,0,0.0008699998902495042,1.8575277975158835,0,0.00023319286290672523,0,0,0.6792884705938655,0.7358080022294339
7135,7135,-1891900.0730340467,-1891074.4024210642,6112007.975760667,-5006.793430950803,-5007.233997783406,-3099.063309312198,50.5,6671733.126240189,0,0.0008699998902495042,1.8583104772439478,0,0.0002332861163191037,0,0,0.7104057685506536,0.7648648068275811
7136,7136,-1896905.595679051,-1896080.3661869145,6108904.811343776,-5004.250739310496,-5004.692414071118,-3107.2648302933717,50.5,6671733.118263861,0,0.0008699998902495042,1.8590929411700636,0,0.00023337960547054472,0,0,0.6845595442437109,0.7414212711474314
7137,7137,-1901908.5722737424,-1901083.7850100836,6105793.447490266,-5001.701330894473,-5002.1441129903,-3115.462180716647,50.5,6671733.110284332,0,0.0008699998902495042,1.859875188572797,0,0.0002334733301041071,0,0,0.7430724627198427,0.7951325132824518
7138,7138,-1906908.9961030553,-1906084.6521749122,6102673.888376196,-4999.145209124486,-4999.589097961216,-3123.6553495794215,50.5,6671733.102301591,0,0.0008699998902495042,1.860657218729714,0,0.00023356728996168705,0,0,0.6859059156725063,0.7432413937449616
7139,7139,-1911906.8604553503,-1911082.9609691661,6099546.138188626,-4996.582377431297,-4997.027372413144,-3131.844325884707,50.5,6671733.094315636,0,0.0008699998902495042,1.8614390309173767,0,0.00023366148478394533,0,0,0.7470332484889505,0.7992519469443365
7140,7140,-1916902.1586224232,-1916078.7046840447,6096410.201125609,-4994.012839254673,-4994.4589397843665,-3140.0290986411405,50.5,6671733.0863264585,0,0.0008699998902495042,1.8622206244113404,0,0.00023375591431039152,0,0,0.7357937154872876,0.789353873996938
7141,7141,-1921894.8838995146,-1921071.8766141902,6093266.081396188,-4991.436598043385,-4991.883803522171,-3148.2096568630022,50.5,6671733.078334045,0,0.0008699998902495042,1.8630019984861523,0,0.00023385057827935357,0,0,0.7062448444559231,0.7627332004729043
7142,7142,-1926885.0295853177,-1926062.4700576966,6090113.783220387,-4988.853657255199,-4989.301967082839,-3156.385989570228,50.5,6671733.070338396,0,0.0008699998902495042,1.8637831524153445,0,0.00023394547642795828,0,0,0.6886341695454563,0.7469056332462389
7143,7143,-1931872.5889819881,-1931050.4783161185,6086953.31082921,-4986.264020356874,-4986.713433931648,-3164.558085788425,50.5,6671733.062339499,0,0.0008699998902495042,1.864564085471434,0,0.00023404060849211482,0,0,0.7053093352503051,0.7624086649298027
7144,7144,-1936857.5553951531,-1936035.8946944806,6083784.66846463,-4983.667690824157,-4984.118207542863,-3172.7259345488874,50.5,6671733.05433734,0,0.0008699998902495042,1.8653447969259194,0,0.00023413597420659943,0,0,0.6920870104210797,0.750571836227115
7145,7145,-1941839.9221339198,-1941018.712501286,6080607.860379586,-4981.064672141777,-4981.516291399734,-3180.8895248886083,50.5,6671733.046331925,0,0.0008699998902495042,1.8661252860492747,0,0.00023423157330492524,0,0,0.6937483960345493,0.7524422717152919
7146,7146,-1946819.6825108845,-1945998.925048526,6077422.890837979,-4978.454967803442,-4978.907688994487,-3189.0488458502973,50.5,6671733.038323233,0,0.0008699998902495042,1.8669055521109508,0,0.00023432740551943625,0,0,0.7125383908423528,0.7698681567170368
7147,7147,-1951796.829842142,-1950976.525651688,6074229.764114662,-4975.838581311833,-4976.292403828325,-3197.203886482394,50.5,6671733.030311263,0,0.0008699998902495042,1.867685594379369,0,0.000234423470581258,0,0,0.7227943114632649,0.7794757605017454
7148,7148,-1956771.3574472943,-1955951.5076297657,6071028.48449544,-4973.2155161786,-4973.670439411421,-3205.3546358390827,50.5,6671733.022296005,0,0.0008699998902495042,1.8684654121219182,0,0.00023451976822030617,0,0,0.7125815675784205,0.7704335136206037
7149,7149,-1961743.2586494589,-1960923.8643052669,6067819.056277056,-4970.585775924359,-4971.041799262911,-3213.5010829803073,50.5,6671733.0142774535,0,0.0008699998902495042,1.8692450046049527,0,0.00023461629816528935,0,0,0.7091211001071765,0.7676102959778798
7150,7150,-1966712.526775279,-1965893.5890042235,6064601.483767196,-4967.949364078682,-4968.406486910892,-3221.643216971786,50.5,6671733.006255594,0,0.0008699998902495042,1.870024371093789,0,0.00023471306014368878,0,0,0.7125180644127656,0.7709683425971614
7151,7151,-1971679.1551549318,-1970860.6750561998,6061375.771284472,-4965.306284180098,-4965.764505892418,-3229.7810268850258,50.5,6671732.998230427,0,0.0008699998902495042,1.870803510852702,0,0.00023481005388179037,0,0,0.731659527575953,0.7885909387527681
7152,7152,-1976643.1371221372,-1975825.1157943015,6058141.923158426,-4962.656539776086,-4963.115859753491,-3237.914501797337,50.5,6671732.990201935,0,0.0008699998902495042,1.8715824231449223,0,0.00023490727910464504,0,0,0.7189958373082133,0.7774408971025127
7153,7153,-1981604.4660141675,-1980786.9045551848,6054899.943729517,-4960.000134423069,-4960.460552049061,-3246.043630791848,50.5,6671732.982170121,0,0.0008699998902495042,1.872361107232632,0,0.00023500473553606226,0,0,0.7092460091926124,0.7686553661585129
7154,7154,-1986563.1351718553,-1985746.0346790655,6051649.837349119,-4957.337071686411,-4957.798586343019,-3254.168402957521,50.5,6671732.974134968,0,0.0008699998902495042,1.8731395623769638,0,0.00023510242289862327,0,0,0.6592432085776876,0.7234688880065543
7155,7155,-1991519.1379396038,-1990702.4995097276,6048391.608379513,-4954.667355140413,-4955.129966208193,-3262.2888073891645,50.5,6671732.96609647,0,0.0008699998902495042,1.8739177878379956,0,0.00023520034091370826,0,0,0.732251640512936,0.790240842183401
7156,7156,-1996472.467665394,-1995656.2923945326,6045125.261193885,-4951.990988368304,-4952.454695226341,-3270.4048331874496,50.5,6671732.958054624,0,0.0008699998902495042,1.8746957828747481,0,0.00023529848930144197,0,0,0.717765642910502,0.7774271385519423
7157,7157,-2001423.1177007956,-2000607.406684428,6041850.800176314,-4949.307974962241,-4949.772776988149,-3278.516469458925,50.5,6671732.95000942,0,0.0008699998902495042,1.8754735467451817,0,0.00023539686778071178,0,0,0.7266185088444392,0.7857086370999333
7158,7158,-2006371.0814009742,-2005555.8357339564,6038568.229721772,-4946.618318523303,-4947.084215093226,-3286.6237053160285,50.5,6671732.941960847,0,0.0008699998902495042,1.8762510787061943,0,0.00023549547606917083,0,0,0.7185419682084716,0.7787339603927038
7159,7159,-2011316.3521247013,-2010501.5729012648,6035277.554236114,-4943.9220226614825,-4944.389013150095,-3294.7265298771067,50.5,6671732.933908899,0,0.0008699998902495042,1.8770283780136157,0,0.0002355943138832078,0,0,0.6792514186521046,0.7432739126687653
7160,7160,-2016258.9232343624,-2015444.611548113,6031978.778136075,-4941.219090995686,-4941.687174776194,-3302.824932266425,50.5,6671732.92585357,0,0.0008699998902495042,1.8778054439222063,0,0.0002356933809379838,0,0,0.7150261136633996,0.7760516092048282
7161,7161,-2021198.7880959671,-2020384.9450398823,6028671.905849261,-4938.509527153727,-4938.978703597869,-3310.9189016141845,50.5,6671732.917794852,0,0.0008699998902495042,1.8785822756856545,0,0.0002357926769473975,0,0,0.7055171073190889,0.7677788160613983
7162,7162,-2026135.9400791568,-2025322.5667455855,6025356.941814148,-4935.793334772317,-4936.263603250367,-3319.008427056536,50.5,6671732.90973273,0,0.0008699998902495042,1.8793588725565715,0,0.0002358922016240977,0,0,0.6790280948122744,0.7441077828766043
7163,7163,-2031070.3725572138,-2030257.4700378745,6022033.890480069,-4933.07051749707,-4933.541877377834,-3327.093497735595,50.5,6671732.9016672075,0,0.0008699998902495042,1.8801352337864892,0,0.00023599195467948706,0,0,0.728317725004078,0.7888766970854826
7164,7164,-2036002.078907071,-2035189.6482930502,6018702.756307215,-4930.341078982487,-4930.813529633307,-3335.1741027994553,50.5,6671732.893598271,0,0.0008699998902495042,1.8809113586258577,0,0.00023609193582366277,0,0,0.7195859554272382,0.7813120014975512
7165,7165,-2040931.05250932,-2040119.0948910709,6015363.543766624,-4927.6050228919585,-4928.078563678712,-3343.250231402205,50.5,6671732.885525909,0,0.0008699998902495042,1.8816872463240402,0,0.0002361921447655303,0,0,0.6661621688825704,0.7332108575863943
7166,7166,-2045857.2867482202,-2045045.803215561,6012016.257340178,-4924.862352897759,-4925.33698318486,-3351.3218727039393,50.5,6671732.87745012,0,0.0008699998902495042,1.8824628961293124,0,0.00023629258121267725,0,0,0.6946982512524366,0.7594661357675885
7167,7167,-2050780.7750117078,-2049969.7666538206,6008660.901520595,-4922.113072681036,-4922.588791831438,-3359.3890158707773,50.5,6671732.869370892,0,0.0008699998902495042,1.8832383072888572,0,0.0002363932448714196,0,0,0.7340404254425886,0.7951797020949092
7168,7168,-2055701.5106914046,-2054890.9785968335,6005297.480811425,-4919.357185931813,-4919.8339933070065,-3367.451650074874,50.5,6671732.861288221,0,0.0008699998902495042,1.8840134790487617,0,0.00023649413544682467,0,0,0.6801636508056399,0.7469311206359169
7169,7169,-2060619.4871826267,-2059809.4324392767,6001925.9997270405,-4916.594696348979,-4917.072591308994,-3375.509764494437,50.5,6671732.853202099,0,0.0008699998902495042,1.8847884106540165,0,0.0002365952526426706,0,0,0.7267553249801194,0.7892017675869826
7170,7170,-2065534.6978843939,-2064725.121579529,5998546.462792636,-4913.825607640285,-4914.304589543692,-3383.56334831374,50.5,6671732.845112514,0,0.0008699998902495042,1.885563101348508,0,0.0002366965961614453,0,0,0.7004765410819953,0.7659097742372857
7171,7171,-2070447.1361994375,-2069638.03941968,5995158.874544216,-4911.0499235223415,-4911.529991726252,-3391.6123907231363,50.5,6671732.837019461,0,0.0008699998902495042,1.88633755037502,0,0.0002367981657043837,0,0,0.6880711124854945,0.7549594520688395
7172,7172,-2075356.7955342105,-2074548.1793655388,5991763.239528595,-4908.2676477206105,-4908.7488015806775,-3399.656880919076,50.5,6671732.828922929,0,0.0008699998902495042,1.8871117569752263,0,0.00023689996097140753,0,0,0.7153536669139146,0.7798451861345292
7173,7173,-2080263.6692988954,-2079455.5348266428,5988359.562303382,-4905.478783969401,-4905.9610228398205,-3407.6968081041177,50.5,6671732.820822918,0,0.0008699998902495042,1.8878857203896922,0,0.0002370019816611491,0,0,0.6942262905038429,0.7611589056467587
7174,7174,-2085167.7509074137,-2084360.099216267,5984947.847436987,-4902.683336011864,-4903.166659245377,-3415.732161486945,50.5,6671732.812719413,0,0.0008699998902495042,1.888659439857866,0,0.00023710422747098245,0,0,0.6996049624690028,0.7663631637324495
7175,7175,-2090069.0337774341,-2089261.8659514324,5981528.099508604,-4899.881307599991,-4900.36571454788,-3423.7629302823807,50.5,6671732.804612411,0,0.0008699998902495042,1.88943291461808,0,0.000237206698096936,0,0,0.7062209431467219,0.77256050361852
7176,7176,-2094967.5113303822,-2094160.8284529147,5978100.323108211,-4897.072702494601,-4897.558192506697,-3431.7891037113995,50.5,6671732.796501903,0,0.0008699998902495042,1.890206143907545,0,0.00023730939323377714,0,0,0.6979962771881284,0.7654371579146516
7177,7177,-2099863.1769914487,-2099056.9801452537,5974664.522836561,-4894.2575244653435,-4894.744096890023,-3439.810671001145,50.5,6671732.788387878,0,0.0008699998902495042,1.8909791269623488,0,0.0002374123125749631,0,0,0.6864726028441681,0.7552157952421982
7178,7178,-2104756.024189598,-2103950.314456762,5971220.703305177,-4891.435777290691,-4891.9234314748755,-3447.8276213849413,50.5,6671732.780270329,0,0.0008699998902495042,1.891751863017451,0,0.00023751545581262914,0,0,0.6713571494303913,0.7418484938787165
