,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
13756,13756,-4593982.139513499,-4594205.600909361,-1516489.8453049862,1242.866383027396,1241.8455444434537,-7527.17574393578,50.5,6671669.342632551,0,0.0008699998902495042,2.3303265626682816,0,0.0003372296796203751,0,0,0.7242126847408887,0.9904592559111346
13757,13757,-4592736.1902638255,-4592960.672348072,-1524016.0016045687,1249.0318375960615,1248.0112996400103,-7525.135171558281,50.5,6671669.331106093,0,0.0008699998902495042,2.330069063854546,0,0.00033714941674782746,0,0,0.7085117842376903,0.9871208211378506
13758,13758,-4591484.076397132,-4591709.57886845,-1531540.1122812177,1255.1956156892122,1254.1753797308752,-7523.084498526275,50.5,6671669.319582394,0,0.0008699998902495042,2.329810354373994,0,0.0003370687964322303,0,0,0.7171018154043463,0.9887359624042013
13759,13759,-4590225.799594031,-4590452.322149737,-1539062.1672356536,1261.3577090334659,1260.3377764422605,-7521.023727592145,50.5,6671669.308061454,0,0.0008699998902495042,2.329550435447638,0,0.0003369878193627607,0,0,0.7022949772794456,0.9848363854859878
13760,13760,-4588961.361543406,-4589188.903879449,-1546582.1563713565,1267.518109357701,1266.4984815026376,-7518.952861521832,50.5,6671669.296543284,0,0.0008699998902495042,2.329289308300672,0,0.0003369064862312651,0,0,0.7051914577351639,0.9860129059079967
13761,13761,-4587690.763942412,-4587919.325753371,-1554100.0695945784,1273.676808393068,1272.657486642748,-7516.871903094826,50.5,6671669.285027903,0,0.0008699998902495042,2.3290269741624368,0,0.0003368247977323073,0,0,0.7181849118243018,0.9886187871993908
13762,13762,-4586414.008496472,-4586643.589475559,-1561615.8968143582,1279.8337978730012,1278.814783595615,-7514.780855104163,50.5,6671669.273515321,0,0.0008699998902495042,2.3287634342664028,0,0.0003367427545630968,0,0,0.7073739304298183,0.985622411569409
13763,13763,-4585131.096919273,-4585361.696758331,-1569129.6279425342,1285.9890695332292,1284.9703640965547,-7512.679720356422,50.5,6671669.262005553,0,0.0008699998902495042,2.3284986898501394,0,0.0003366603574235774,0,0,0.703859666409248,0.9851559715406922
13764,13764,-4583842.030932766,-4584073.64932227,-1576641.2528937585,1292.1426151117862,1291.1242198831867,-7510.568501671722,50.5,6671669.250498601,0,0.0008699998902495042,2.3282327421552957,0,0.0003365776070163289,0,0,0.6946187192929941,0.9828454604362101
13765,13765,-4582546.812267164,-4582779.448896223,-1584150.7615855096,1298.2944263490228,1297.2763426954452,-7508.447201883716,50.5,6671669.23899449,0,0.0008699998902495042,2.327965592427571,0,0.00033649450404660064,0,0,0.7025963439241869,0.9845812147127668
13766,13766,-4581245.442660935,-4581479.097217291,-1591658.143938107,1304.4444949876179,1303.426724275591,-7506.315823839589,50.5,6671669.227493222,0,0.0008699998902495042,2.3276972419166917,0,0.0003364110492222679,0,0,0.7276223556008151,0.9901976864906658
13767,13767,-4579937.923860807,-4580172.596030834,-1599163.3898747235,1310.5928127725886,1309.575356368221,-7504.174370400055,50.5,6671669.215994813,0,0.0008699998902495042,2.3274276918763874,0,0.0003363272432538589,0,0,0.6958204745504569,0.9818893854694304
