,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
9429,9429,-335830.1427178983,-336737.928256476,-6654720.13418588,5451.703369552922,5451.648338965031,-550.9619880342818,58.61335133144992,6671700.316371263,0,0.7053116824895923,1.6211541855228382,0,0.0003701218695668467,0,0,0.7167772182292084,0.718541608432251
9430,9430,-330378.2151880454,-331286.05514796625,-6655266.629938965,5452.150470521928,5452.096658435766,-542.0293958690937,58.61335133144992,6671700.305470537,0,0.7053695245691827,1.6203359920625922,0,0.0003701063519644865,0,0,0.6615913164041961,0.663430344016068
9431,9431,-324925.84421621583,-325833.7373789418,-6655804.192735084,5452.590253407062,5452.537659894867,-533.0960761030127,58.61335133144992,6671700.2945702635,0,0.7054264198757775,1.6195177652421873,0,0.0003700910879697195,0,0,0.7080123985801753,0.7096860238550473
9432,9432,-319473.03712078946,-320380.98226771114,-6656332.821852634,5453.02271761791,5452.971342750284,-524.1620407267151,58.61335133144992,6671700.283670437,0,0.7054823683329988,1.6186995056160762,0,0.00037007607771001366,0,0,0.6750696622639559,0.6767603933374984
9433,9433,-314019.80122073175,-314927.79713316995,-6656852.516581998,5453.4478625738775,5453.397706419787,-515.2273017318379,58.61335133144992,6671700.272771052,0,0.7055373698657406,1.6178812137385592,0,0.00037006132131066794,0,0,0.7248549258037188,0.7263813581283505
9434,9434,-308566.1438355837,-309474.18929479114,-6657363.276225556,5453.865687704197,5453.816750330973,-506.29187111096303,58.61335133144992,6671700.261872093,0,0.7055914244001671,1.6170628901637822,0,0.0003700468188948515,0,0,0.7221475842260525,0.7236254241101939
9435,9435,-303112.07228545233,-304020.1660726151,-6657865.100097676,5454.276192447925,5454.228473921263,-497.3557608576011,58.61335133144992,6671700.250973561,0,0.7056445318637141,1.6162445354457453,0,0.00037003257058358305,0,0,0.7051794392141713,0.7066434324578157
9436,9436,-297657.59389100055,-298565.7347872399,-6658357.987524725,5454.679376253943,5454.632876637902,-488.41898296617535,58.61335133144992,6671700.240075444,0,0.7056966921850883,1.6154261501383,0,0.00037001857649580705,0,0,0.7117704005872072,0.7131684991719972
9437,9437,-292202.71597343753,-293110.9027598116,-6658841.937845061,5455.075238580961,5455.029957937963,-479.4815494320053,58.61335133144992,6671700.229177734,0,0.705747905294268,1.6146077347951553,0,0.00037000483674827506,0,0,0.706849838339441,0.7082054911677751
9438,9438,-286747.44585450884,-287655.67731201404,-6659316.95040904,5455.463778897515,5455.419717288348,-470.54347225129106,58.61335133144992,6671700.21828043,0,0.7057981711225023,1.613789289969879,0,0.00036999135145566716,0,0,0.6977956222217879,0.6991170932188611
9439,9439,-281291.7908564866,-282200.0657660593,-6659783.024579014,5455.84499668197,5455.802154165783,-461.604763421097,58.61335133144992,6671700.207383514,0,0.7058474896023127,1.6129708162159,0,0.00036997812073050337,0,0,0.6978761921005908,0.6991447217128496
9440,9440,-275835.7583021596,-276744.075444678,-6660240.159729332,5456.218891422517,5456.177268056825,-452.6654349393356,58.61335133144992,6671700.196486984,0,0.7058958606674912,1.612152314086512,0,0.00036996514468322014,0,0,0.7384697056841432,0.7396222357796168
9441,9441,-270379.35551482363,-271287.7136711091,-6660688.355246342,5456.58546261718,5456.54505845786,-443.7254988047515,58.61335133144992,6671700.185590835,0,0.7059432842531024,1.6113337841348745,0,0.00036995242342206645,0,0,0.7399756397216702,0.7410816539490729
9442,9442,-264922.5898182714,-265830.98776909034,-6661127.61052839,5456.944709773811,5456.905524875105,-434.7849670169052,58.61335133144992,6671700.17469506,0,0.705989760295482,1.610515226914017,0,0.00036993995705321,0,0,0.7160446691170247,0.7171430034412267
