,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_side,eff_back
5093,5093,4377069.060191916,4376746.003283621,-2489484.708317549,2038.9162999186685,2039.900700825902,7171.208192093537,53.099999999999994,6671749.581233327,1,0.0008699998902495042,0.8552091663582257,0,0.0003225692582158829,0,0,0
5094,5094,4379105.038568359,4378782.966277555,-2482311.8310304666,2033.0399975157163,2034.024831370766,7174.544777489642,53.099999999999994,6671749.570744419,1,0.0008699998902495042,0.8548047476365725,0,0.00032268931078844915,0,0,0
5095,5095,4381135.139277361,4380814.052036335,-2475135.6219724794,2027.1609663527586,2028.146231833773,7177.871733158031,53.099999999999994,6671749.5602516085,1,0.0008699998902495042,0.8544013547051306,0,0.0003228091153709134,0,0,0
5096,5096,4383159.359594109,4382839.2578338245,-2467956.0907755485,2021.2792143206923,2022.264910105241,7181.1890546332315,53.099999999999994,6671749.549754909,1,0.0008699998902495042,0.8539989891209626,0,0.0003229286710222655,0,0,0
5097,5097,4385177.696801678,4384858.580951779,-2460773.247076095,2015.3947493140663,2016.3808740791408,7184.4967374627,53.099999999999994,6671749.539254328,1,0.0008699998902495042,0.8535976524400126,0,0.0003230479768026002,0,0,0
5098,5098,4387190.148191045,4386872.01867985,-2453587.100514985,2009.5075792310708,2010.4941316530872,7187.794777206834,53.099999999999994,6671749.528749872,1,0.0008699998902495042,0.8531973462170857,0,0.00032316703177332444,0,0,0
5099,5099,4389196.711061083,4388879.568315586,-2446397.6607375187,2003.617711973527,2004.604690728327,7191.083169438969,53.099999999999994,6671749.51824155,1,0.0008699998902495042,0.8527980720058262,0,0.0003232858349970209,0,0,0
5100,5100,4391197.38271857,4390881.227164442,-2439204.9373934157,1997.725155446876,1998.712559209729,7194.361909745393,53.099999999999994,6671749.507729367,1,0.0008699998902495042,0.8523998313586977,0,0.00032340438553751615,0,0,0
5101,5101,4393192.1604781905,4392876.992539777,-2432008.9401368033,1991.8299175601683,1992.8177450057742,7197.630993725348,53.099999999999994,6671749.497213337,1,0.0008699998902495042,0.8520026258269604,0,0.0003235226824598579,0,0,0
5102,5102,4395181.041662541,4394866.861762863,-2424809.678626203,1985.9320062260538,1986.920256028543,7200.890416991038,53.099999999999994,6671749.486693464,1,0.0008699998902495042,0.8516064569606504,0,0.0003236407248304157,0,0,0
