,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_back
1779,1779,-2223246.240181624,-2222452.7410066905,5884781.700897957,-4820.5535966886,-4821.06743260467,-3641.9309526343927,58.61335133144992,6671782.675712636,0,0.6236622302062969,1.9105245605963828,0,0.000387903180730594,0,0,0.7354041888070497,0.8062135858344117
1780,1780,-2228065.3006997593,-2227272.315893136,5881135.821543872,-4817.566361571223,-4818.081262160505,-3649.8269399717997,58.61335133144992,6671782.664286592,0,0.6232757539195197,1.911290754873422,0,0.000387984748843522,0,0,0.7193166168657177,0.7927103634653819
1781,1781,-2232881.3707494135,-2232088.9013754283,5877482.048650907,-4814.572660395584,-4815.088624966994,-3657.7180286289476,58.61335133144992,6671782.652858148,0,0.6228884410824652,1.912056681544821,0,0.00038806637573295864,0,0,0.667542818816182,0.7471470984942576
1782,1782,-2237694.443866537,-2236902.4909888254,5873820.387123038,-4811.572497179675,-4812.089525040703,-3665.604208014549,58.61335133144992,6671782.641427296,0,0.6225002922149688,1.9128223398134483,0,0.00038814806043847025,0,0,0.7078598321280588,0.7832830622013067
1783,1783,-2242504.513591102,-2241713.0782726067,5870150.8418748295,-4808.565875950166,-4809.083966406872,-3673.485467543906,58.61335133144992,6671782.629994038,0,0.6221113078379888,1.9135877288809544,0,0.00038822980199728507,0,0,0.7257193037990339,0.7990965351321373
1784,1784,-2247311.573467111,-2246520.656770081,5866473.417831428,-4805.552800742389,-4806.071953099409,-3681.361796638923,58.61335133144992,6671782.618558371,0,0.6217214884736044,1.9143528479477683,0,0.00038831159944432975,0,0,0.697780937818222,0.7749635218311187
1785,1785,-2252115.6170426086,-2251325.220028595,5862788.119928554,-4802.533275600342,-4803.053489160887,-3689.233184728122,58.61335133144992,6671782.607120296,0,0.6213308346450155,1.9151176962130956,0,0.0003883934518122965,0,0,0.714161712513072,0.7895120754289885
1786,1786,-2256916.637869685,-2256126.7615995426,5859094.953112495,-4799.5073045766785,-4800.028578642534,-3697.099621246657,58.61335133144992,6671782.59567981,0,0.6209393468765423,1.915882272874913,0,0.00038847535813153067,0,0,0.6962207211928966,0.7741752519762614
1787,1787,-2261714.629504489,-2260925.275038373,5855393.922340103,-4796.474891732705,-4796.997225604233,-3704.9610956363267,58.61335133144992,6671782.58423691,0,0.6205470256936242,1.9166465771299672,0,0.0003885573174301459,0,0,0.7036553325532136,0.78104425682018
1788,1788,-2266509.5855072336,-2265720.7539046006,5851685.032578783,-4793.436041138373,-4793.959434114513,-3712.81759734559,58.61335133144992,6671782.572791594,0,0.6201538716228191,1.917410608173772,0,0.0003886393287339266,0,0,0.7194127407617488,0.7951255613243002
