,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel
3505,3505,-4044258.03984653,-921752.3593319987,-5225580.004095924,6147.484015054125,-813.9030932983428,-4614.163106340081,53.099999999999994,6671762.678501457,0,0.7953319804239906,2.222039856742345,0,0.0003406010414154451,0
3506,3506,-4038107.8431082675,-922565.6436550223,-5230190.659282221,6152.908085679011,-812.6653708154023,-4607.146234843098,53.099999999999994,6671762.667429824,0,0.7960337192364174,2.2208813227906457,0,0.00034050377340673474,0
3507,3507,-4031952.2264279695,-923377.6897100403,-5234794.2945043575,6158.323897911854,-811.4265575647794,-4600.123179587828,53.099999999999994,6671762.656361351,0,0.7967343896158874,2.219722788833866,0,0.0003404065097610887,0
3508,3508,-4025791.198067664,-924188.4964071166,-5239390.903583286,6163.731444483417,-810.1866552091963,-4593.0939500005425,53.099999999999994,6671762.645296044,0,0.7974339906219498,2.2185642548720095,0,0.0003403092514046256,0
3509,3509,-4019624.766296643,-924998.0626579784,-5243980.480349393,6169.130718135555,-808.9456654128365,-4586.058555515798,53.099999999999994,6671762.634233896,0,0.7981325213155892,2.217405720905078,0,0.0003402119992619788,0
3510,3510,-4013452.9393914486,-925806.3873760173,-5248563.018642499,6174.521711621226,-807.7035898413438,-4579.017005576427,53.099999999999994,6671762.6231749095,0,0.7988299807592265,2.216247186933074,0,0.0003401147542562422,0
3511,3511,-4007275.725635868,-926613.4694762918,-5253138.512311878,6179.904417704503,-806.460430161819,-4571.969309633526,53.099999999999994,6671762.612119083,0,0.7995263680167211,2.2150886529559983,0,0.0003400175173089563,0
3512,3512,-4001093.133320916,-927419.3078755279,-5257706.955216252,6185.278829160583,-805.216188042818,-4564.915477146438,53.099999999999994,6671762.601066421,0,0.8002216821533704,2.213930118973855,0,0.0003399202893401237,0
3513,3513,-3994905.1707448275,-928223.9014921209,-5262268.341223812,6190.644938775792,-803.9708651543498,-4557.855517582746,53.099999999999994,6671762.590016921,0,0.800915922235913,2.212771584986645,0,0.00033982307126820916,0
3514,3514,-3988711.846213046,-929027.2492461371,-5266822.664212218,6196.002739347603,-802.724463167874,-4550.7894404182525,53.099999999999994,6671762.578970577,0,0.8016090873325289,2.2116130509943717,0,0.0003397258640101064,0
3515,3515,-3982513.168038211,-929829.3500593147,-5271369.918068609,6201.35222368464,-801.4769837562984,-4543.717255136975,53.099999999999994,6671762.567927396,0,0.8023011765128406,2.210454516997036,0,0.00033962866848118015,0
3516,3516,-3976309.1445401483,-930630.202855066,-5275910.096689615,6206.693384606687,-800.2284285939774,-4536.638971231128,53.099999999999994,6671762.556887374,0,0.8029921888479151,2.2092959829946417,0,0.000339531485595198,0
3517,3517,-3970099.7840458592,-931429.8065584778,-5280443.193981363,6212.026214944702,-798.9787993567088,-4529.554598201114,53.099999999999994,6671762.545850511,0,0.8036821234102648,2.2081374489871894,0,0.0003394343162644073,0
3518,3518,-3963885.0948895067,-932228.1600963136,-5284969.20385948,6217.350707540821,-797.7280977217325,-4522.464145555505,53.099999999999994,6671762.534816807,0,0.8043709792738479,2.206978914974682,0,0.00033933716139943266,0
3519,3519,-3957665.0854124073,-933025.2623970149,-5289488.1202491075,6222.666855248375,-796.4763253677278,-4515.367622811035,53.099999999999994,6671762.52378626,0,0.8050587555140711,2.2058203809571224,0,0.00033924002190938754,0
3520,3520,-3951439.763963018,-933821.1123907027,-5293999.9370849095,6227.974650931894,-795.223483974811,-4508.2650394925895,53.099999999999994,6671762.512758873,0,0.8057454512077902,2.2046618469345116,0,0.00033914289870176455,0
3521,3521,-3945209.138896926,-934615.7090091788,-5298504.648311079,6233.274087467115,-793.9695752245332,-4501.156405133182,53.099999999999994,6671762.501734641,0,0.8064310654333109,2.2035033129068533,0,0.00033904579268248443,0
3522,3522,-3938973.2185768373,-935409.051185927,-5303002.247881343,6238.565157741,-792.7146007998783,-4494.041729273951,53.099999999999994,6671762.490713569,0,0.8071155972703907,2.202344778874149,0,0.00033894870475587773,0
3523,3523,-3932732.011372565,-936201.1378561152,-5307492.729758976,6243.8478546517335,-791.4585623852607,-4486.921021464146,53.099999999999994,6671762.47969565,0,0.8077990458002399,2.2011862448364,0,0.0003388516358246982,0
3524,3524,-3926485.525661018,-936991.9679565962,-5311976.087916806,6249.122171108745,-790.201461666523,-4479.79429126111,53.099999999999994,6671762.468680888,0,0.8084814101055225,2.20002771079361,0,0.0003387545867901184,0
3525,3525,-3920233.769826192,-937781.5404259093,-5316452.316337221,6254.3881000327065,-788.9433003309332,-4472.661548230271,53.099999999999994,6671762.45766928,0,0.8091626892703582,2.1988691767457813,0,0.0003386575585516816,0
3526,3526,-3913976.7522591534,-938569.8542042819,-5320921.409012182,6259.645634355553,-787.6840800671835,-4465.522801945128,53.099999999999994,6671762.446660826,0,0.8098428823803228,2.197710642692915,0,0.00033856055200735883,0
3527,3527,-3907714.4813580336,-939356.908233631,-5325383.359943221,6264.894767020482,-786.4238025653871,-4458.378061987238,53.099999999999994,6671762.43565553,0,0.8105219885224497,2.196552108635014,0,0.00033846356805348094,0
3528,3528,-3901446.9655280137,-940142.7014575639,-5329838.163141462,6270.135490981968,-785.1624695170763,-4451.2273379462,53.099999999999994,6671762.424653379,0,0.8112000067852315,2.1953935745720807,0,0.0003383666075848289,0
3529,3529,-3895174.2131813155,-940927.2328213806,-5334285.812627619,6275.367799205778,-783.9000826152003,-4444.07063941965,53.099999999999994,6671762.413654391,0,0.811876936258621,2.1942350405041173,0,0.00033826967149450587,0
3530,3530,-3888896.232737189,-941710.5012720745,-5338726.302432008,6280.591684668965,-782.6366435541228,-4436.907976013239,53.099999999999994,6671762.402658543,0,0.8125527760340322,2.193076506431126,0,0.00033817276067407405,0
3531,3531,-3882613.0326219015,-942492.5057583343,-5343159.6265945565,6285.807140359893,-781.3721540296197,-4429.739357340627,53.099999999999994,6671762.391665849,0,0.8132275252043416,2.191917972353109,0,0.00033807587601339287,0
3532,3532,-3876324.6212687264,-943273.245230545,-5347585.779164808,6291.014159278239,-780.1066157388769,-4422.564793023465,53.099999999999994,6671762.3806763,0,0.8139011828638896,2.1907594382700686,0,0.00033797901840075653,0
3533,3533,-3870031.007117932,-944052.7186407895,-5352004.754201932,6296.212734435004,-778.8400303804883,-4415.384292691388,53.099999999999994,6671762.369689908,0,0.8145737481084816,2.189600904182007,0,0.00033788218872280736,0
3534,3534,-3863732.1986167696,-944830.92494285,-5356416.545774731,6301.402858852521,-777.5723996544527,-4408.197865981994,53.099999999999994,6671762.358706657,0,0.8152452200353895,2.188442370088927,0,0.00033778538786457017,0
3535,3535,-3857428.2042194624,-945607.8630922097,-5360821.147961652,6306.584525564465,-776.3037252621724,-4401.005522540842,53.099999999999994,6671762.3477265565,0,0.8159155977433518,2.18728383599083,0,0.0003376886167094345,0
3536,3536,-3851119.0323871947,-946383.5320460533,-5365218.554850787,6311.757727615865,-775.0340089064506,-4393.807272021427,53.099999999999994,6671762.336749603,0,0.8165848803325765,2.1861253018877194,0,0.0003375918761391415,0
3537,3537,-3844804.691588099,-947157.9307632694,-5369608.760539888,6316.922458063112,-773.7632522914887,-4386.603124085174,53.099999999999994,6671762.325775788,0,0.8172530669047414,2.184966767779597,0,0.0003374951670338201,0
3538,3538,-3838485.1902972474,-947931.0582044517,-5373991.759136374,6322.078709973961,-772.4914571228848,-4379.393088401426,53.099999999999994,6671762.314805121,0,0.8179201565629948,2.183808233666465,0,0.00033739849027192005,0
3539,3539,-3832160.536996637,-948702.9133318997,-5378367.5447573345,6327.226476427555,-771.2186251076307,-4372.177174647428,53.099999999999994,6671762.3038375955,0,0.818586148411958,2.182649699548325,0,0.000337301846730248,0
3540,3540,-3825830.7401751815,-949473.4951096209,-5382736.111529541,6332.365750514421,-769.9447579541102,-4364.955392508312,53.099999999999994,6671762.292873212,0,0.8192510415577251,2.1814911654251805,0,0.0003372052372839752,0
3541,3541,-3819495.808328697,-950242.8025033317,-5387097.453589454,6337.496525336485,-768.6698573720961,-4357.727751677091,53.099999999999994,6671762.281911969,0,0.8199148351078649,2.1803326312970333,0,0.00033710866280662667,0
3542,3542,-3813155.7499598926,-951010.8344804593,-5391451.565083231,6342.618794007083,-767.3939250727489,-4350.494261854638,53.099999999999994,6671762.270953859,0,0.820577528171423,2.179174097163886,0,0.00033701212417006136,0
3543,3543,-3806810.5735783586,-951777.5900101423,-5395798.440166735,6347.732549650966,-766.1169627686132,-4343.254932749681,53.099999999999994,6671762.259998893,0,0.8212391198589207,2.1780155630257405,0,0.00033691562224446057,0
3544,3544,-3800460.287700554,-952543.0680632328,-5400138.073005542,6352.83778540431,-764.838972173617,-4336.009774078783,53.099999999999994,6671762.249047068,0,0.8218996092823586,2.176857028882599,0,0.0003368191578983367,0
3545,3545,-3794104.9008497973,-953307.2676122977,-5404470.4577749465,6357.934494414729,-763.5599550030677,-4328.758795566331,53.099999999999994,6671762.238098372,0,0.8225589955552164,2.1756984947344646,0,0.0003367227319985821,0
3546,3546,-3787744.4215562525,-954070.1876316194,-5408795.588659971,6363.022669841279,-762.2799129736509,-4321.502006944527,53.099999999999994,6671762.227152814,0,0.8232172777924541,2.1745399605813387,0,0.00033662634541037676,0
3547,3547,-3781378.8583569196,-954831.827097198,-5413113.459855379,6368.10230485447,-760.998847803428,-4314.239417953368,53.099999999999994,6671762.216210388,0,0.823874455110514,2.1733814264232243,0,0.00033652999899723624,0
3548,3548,-3775008.219795621,-955592.1849867523,-5417424.065565671,6373.173392636278,-759.7167612118337,-4306.971038340637,53.099999999999994,6671762.205271094,0,0.8245305266273215,2.172222892260123,0,0.00033643369362100755,0
3549,3549,-3768632.5144229927,-956351.2602797215,-5421727.400005105,6378.235926380146,-758.4336549196735,-4299.696877861893,53.099999999999994,6671762.194334929,0,0.8251854914622857,2.171064358092038,0,0.0003363374301418578,0
3550,3550,-3762251.7507964717,-957109.0519572656,-5426023.457397694,6383.289899291002,-757.1495306491216,-4292.41694628045,53.099999999999994,6671762.183401892,0,0.8258393487363014,2.1699058239189712,0,0.0003362412094182546,0
3551,3551,-3755865.9374802834,-957865.5590022681,-5430312.231977222,6388.335304585263,-755.8643901237189,-4285.131253367373,53.099999999999994,6671762.172471983,0,0.8264920975717496,2.1687472897409257,0,0.000336145032307003,0
3552,3552,-3749475.083045431,-958620.7803993364,-5434593.717987244,6393.372135490844,-754.5782350683697,-4277.8398089014545,53.099999999999994,6671762.161545201,0,0.8271437370924997,2.1675887555579023,0,0.00033604889966319933,0
3553,3553,-3743079.196069685,-959374.7151348036,-5438867.909681101,6398.4003852471715,-753.2910672093409,-4270.542622669211,53.099999999999994,6671762.150621543,0,0.8277942664239094,2.1664302213699047,0,0.0003359528123402676,0
