,t,x,y,z,v_x,v_y,v_z,m,SMA,Eclipse,Sun multiplier,SP angle,Thrust,f_aero,third panel,eff_f_side,eff_r_side,eff_r_back
2211,2211,3946698.213733855,-3947196.0624929196,3654561.8779968834,2994.254864632665,-2993.373925767754,-6466.714105270546,53.099999999999994,6671774.195810479,1,0.0008699998902495042,0.9378147974183287,0,0.00029775258638393986,0,0,0,0
2212,2212,3949689.8193230494,-3950186.7868093434,3648092.712786878,2988.955644531546,-2988.0740380521493,-6471.614867608503,53.099999999999994,6671774.186127896,1,0.0008699998902495042,0.9372585418595556,0,0.0002978999297265637,0,0,0,0
2213,2213,3952676.1236856543,-3953172.209232155,3641618.6511570252,2983.652412639626,-2982.770139729019,-6476.506943870231,53.099999999999994,6671774.176440523,1,0.0008699998902495042,0.9367030452232673,0,0.0002980471936100494,0,0,0,0
2214,2214,3955657.1228134376,-3956152.3257543053,3635139.7017966853,2978.345176074751,-2977.462237917103,-6481.39032748948,53.099999999999994,6671774.166748366,1,0.0008699998902495042,0.9361483090141187,0,0.00029819437706210067,0,0,0,0
2215,2215,3958632.8127052872,-3959127.1323758676,3628655.8734017788,2973.033941960142,-2972.1503397405154,-6486.265011911669,53.099999999999994,6671774.157051425,1,0.0008699998902495042,0.9355943347380985,0,0.00029834147910973104,0,0,0,0
2216,2216,3961603.1893672175,-3962096.6251040413,3622167.1746747755,2967.7187174243854,-2966.8344523287346,-6491.130990593891,53.099999999999994,6671774.147349701,1,0.0008699998902495042,0.9350411239025205,0,0.00029848849877931615,0,0,0,0
2217,2217,3964568.2488123737,-3965060.799953158,3615673.6143246815,2962.399509601425,-2961.5145828165932,-6495.988257004923,53.099999999999994,6671774.1376432,1,0.0008699998902495042,0.9344886780160162,0,0.00029863543509657525,0,0,0,0
2218,2218,3967527.9870610377,-3968019.6529446873,3609175.201067029,2957.07632563055,-2956.190738344269,-6500.836804625238,53.099999999999994,6671774.127931924,1,0.0008699998902495042,0.9339369985885273,0,0.00029878228708660534,0,0,0,0
2219,2219,3970482.400140634,-3970973.1801072415,3602671.9436238636,2951.7491726563867,-2950.8629260572748,-6505.676626947009,53.099999999999994,6671774.11821587,1,0.0008699998902495042,0.9333860871312969,0,0.00029892905377389286,0,0,0,0
2220,2220,3973431.4840857326,-3973921.3774765804,3596163.850723733,2946.4180578288892,-2945.53115310645,-6510.507717474121,53.099999999999994,6671774.108495052,1,0.0008699998902495042,0.9328359451568622,0,0.000299075734182275,0,0,0,0
2221,2221,3976375.2349380585,-3976864.2410956183,3589650.931101675,2941.0829883033293,-2940.195426647949,-6515.330069722176,53.099999999999994,6671774.098769463,1,0.0008699998902495042,0.9322865741790451,0,0.0002992223273350124,0,0,0,0
2222,2222,3979313.6487464933,-3979801.7670144276,3583133.193499206,2935.743971240287,-2934.8557538432337,-6520.143677218506,53.099999999999994,6671774.0890391115,1,0.0008699998902495042,0.9317379757129453,0,0.00029936883225475675,0,0,0,0
2223,2223,3982246.7215670818,-3982733.9512902447,3576610.6466643093,2930.4010138056406,-2929.512141859063,-6524.948533502181,53.099999999999994,6671774.079303999,1,0.0008699998902495042,0.9311901512749308,0,0.00029951524796356817,0,0,0,0
2224,2224,3985174.449463038,-3985660.789987476,3570083.2993514226,2925.0541231705574,-2924.164597867483,-6529.744632124013,53.099999999999994,6671774.069564125,1,0.0008699998902495042,0.9306431023826308,0,0.0002996615734829444,0,0,0,0
2225,2225,3988096.828504748,-3988582.2791777025,3563551.160321428,2919.7033065114842,-2918.813129045817,-6534.531966646572,53.099999999999994,6671774.059819498,1,0.0008699998902495042,0.9300968305549268,0,0.00029980780783377744,0,0,0,0
2226,2226,3991013.85476978,-3991498.414939685,3557014.238341638,2914.3485710101377,-2913.4577425766565,-6539.3105306441885,53.099999999999994,6671774.050070116,1,0.0008699998902495042,0.9295513373119431,0,0.0002999539500364373,0,0,0,0
2227,2227,3993925.5243428834,-3994409.193359369,3550472.5421857857,2908.9899238534945,-2908.0984456478527,-6544.080317702965,53.099999999999994,6671774.040315988,1,0.0008699998902495042,0.9290066241750395,0,0.0003000999991107161,0,0,0,0
2228,2228,3996831.8333159992,-3997314.6105298917,3543926.0806340124,2903.6273722337814,-2902.7352454525044,-6548.841321420784,53.099999999999994,6671774.030557115,1,0.0008699998902495042,0.928462692666802,0,0.0003002459540758703,0,0,0,0
2229,2229,3999732.7777882623,-4000214.6625515847,3537374.8624728546,2898.2609233484663,-2897.3681491889497,-6553.593535407316,53.099999999999994,6671774.02079349,1,0.0008699998902495042,0.9279195443110344,0,0.00030039181395063726,0,0,0,0
2230,2230,4002628.3538660086,-4003109.3455319814,3530818.896495234,2892.890584400248,-2891.9971640607564,-6558.336953284031,53.099999999999994,6671774.011025129,1,0.0008699998902495042,0.927377180632749,0,0.00030053757775318,0,0,0,0
2231,2231,4005518.557662778,-4005998.655585821,3524258.1915004454,2887.5163625970467,-2886.622297276712,-6563.071568684201,53.099999999999994,6671774.001252033,1,0.0008699998902495042,0.9268356031581582,0,0.00030068324450120807,0,0,0,0
2232,2232,4008403.385299322,-4008882.588835054,3517692.756294143,2882.138265151995,-2881.2435560508143,-6567.797375252917,53.099999999999994,6671773.991474198,1,0.0008699998902495042,0.9262948134146651,0,0.00030082881321187295,0,0,0,0
2233,2233,4011282.8329036077,-4011761.141408848,3511122.599688331,2876.756299283426,-2875.860947602262,-6572.5143666470885,53.099999999999994,6671773.981691634,1,0.0008699998902495042,0.9257548129308554,0,0.0003009742829018649,0,0,0,0
2234,2234,4014156.8966108225,-4014634.3094435926,3504547.730501351,2871.3704722148673,-2870.4744791554435,-6577.222536535459,53.099999999999994,6671773.971904344,1,0.0008699998902495042,0.9252156032364869,0,0.0003011196525873694,0,0,0,0
2235,2235,4017025.5725633805,-4017502.0890829028,3497968.157557869,2865.9807911750277,-2865.0841579399294,-6581.921878598611,53.099999999999994,6671773.962112329,1,0.0008699998902495042,0.9246771858624814,0,0.0003012649212840852,0,0,0,0
2236,2236,4019888.8569109268,-4020364.4764776276,3491383.889688865,2860.5872633977892,-2859.689991190461,-6586.612386528976,53.099999999999994,6671773.952315591,1,0.0008699998902495042,0.924139562340915,0,0.00030141008800725887,0,0,0,0
2237,2237,4022746.745810343,-4023221.4677858525,3484794.9357316205,2855.1898961221978,-2854.291986146942,-6591.29405403084,53.099999999999994,6671773.942514138,1,0.0008699998902495042,0.9236027342050092,0,0.0003015551517716554,0,0,0,0
2238,2238,4025599.2354257526,-4026073.059172905,3478201.3045297074,2849.788696592452,-2848.8901500544266,-6595.9668748203585,53.099999999999994,6671773.932707969,1,0.0008699998902495042,0.9230667029891203,0,0.0003017001115916049,0,0,0,0
2239,2239,4028446.321928526,-4028919.2468113615,3471603.004932975,2844.3836720578956,-2843.4844901631127,-6600.630842625556,53.099999999999994,6671773.92289709,1,0.0008699998902495042,0.9225314702287324,0,0.00030184496648099707,0,0,0,0
2240,2240,4031288.0014972845,-4031760.0268810503,3465000.045797538,2838.9748297730052,-2838.0750137283303,-6605.2859511863435,53.099999999999994,6671773.913081498,1,0.0008699998902495042,0.9219970374604447,0,0.0003019897154532794,0,0,0,0
2241,2241,4034124.270317908,-4034595.395569057,3458392.4359857664,2833.5621769973823,-2832.661728010532,-6609.932194254518,53.099999999999994,6671773.903261209,1,0.0008699998902495042,0.9214634062219644,0,0.0003021343575214822,0,0,0,0
2242,2242,4036955.124583537,-4037425.3490697322,3451780.184366272,2828.145720995743,-2827.244640275283,-6614.569565593781,53.099999999999994,6671773.893436219,1,0.0008699998902495042,0.9209305780520961,0,0.0003022788916982175,0,0,0,0
2243,2243,4039780.560494581,-4040249.883584692,3445163.2998138964,2822.7254690379086,-2821.8237577932528,-6619.198058979735,53.099999999999994,6671773.883606528,1,0.0008699998902495042,0.920398554490731,0,0.000302423316995703,0,0,0,0
2244,2244,4042600.574258719,-4043068.995322828,3438541.791209701,2817.301428398795,-2816.3990878402037,-6623.817668199902,53.099999999999994,6671773.873772144,1,0.0008699998902495042,0.9198673370788395,0,0.0003025676324257372,0,0,0,0
2245,2245,4045415.162090911,-4045882.680500309,3431915.6674409523,2811.873606358404,-2810.970637696982,-6628.428387053728,53.099999999999994,6671773.8639330715,1,0.0008699998902495042,0.9193369273584586,0,0.0003027118369997792,0,0,0,0
2246,2246,4048224.320213397,-4048690.935340587,3425284.937401112,2806.442010201812,-2805.538414649508,-6633.030209352591,53.099999999999994,6671773.854089309,1,0.0008699998902495042,0.9188073268726841,0,0.00030285592972887363,0,0,0,0
2247,2247,4051028.044855706,-4051493.7560744034,3418649.6099898247,2801.006647219163,-2800.102425988766,-6637.623128919807,53.099999999999994,6671773.8442408675,1,0.0008699998902495042,0.9182785371656588,0,0.0003029999096237064,0,0,0,0
2248,2248,4053826.3322546585,-4054291.1389397923,3412009.694112905,2795.567524705655,-2794.6626790107944,-6642.207139590644,53.099999999999994,6671773.834387746,1,0.0008699998902495042,0.9177505597825634,0,0.0003031437756946226,0,0,0,0
2249,2249,4056619.1786543736,-4057083.080182086,3405365.1986823264,2790.1246499615345,-2789.219181016677,-6646.782235212328,53.099999999999994,6671773.82452995,1,0.0008699998902495042,0.9172233962696065,0,0.00030328752695161994,0,0,0,0
2250,2250,4059406.580306273,-4059869.576053922,3398716.1326162103,2784.678030292082,-2783.7719393125317,-6651.348409644046,53.099999999999994,6671773.814667482,1,0.0008699998902495042,0.9166970481740125,0,0.0003034311624043297,0,0,0,0
2251,2251,4062188.533469086,-4062650.622815245,3392062.5048388117,2779.2276730076064,-2778.3209612095025,-6655.905656756963,53.099999999999994,6671773.804800345,1,0.0008699998902495042,0.9161715170440144,0,0.00030357468106211564,0,0,0,0
2252,2252,4064965.034408855,-4065426.216733313,3385404.324280509,2773.773585423433,-2772.8662540237474,-6660.453970434223,53.099999999999994,6671773.794928545,1,0.0008699998902495042,0.9156468044288399,0,0.00030371808193395617,0,0,0,0
2253,2253,4067736.0793989394,-4068196.354082705,3378741.5998777905,2768.3157748598933,-2767.40782507643,-6664.993344570962,53.099999999999994,6671773.785052085,1,0.0008699998902495042,0.9151229118787031,0,0.0003038613640285739,0,0,0,0
2254,2254,4070501.664720023,-4070961.0311453207,3372074.3405732447,2762.8542486423175,-2761.94568169371,-6669.523773074314,53.099999999999994,6671773.775170966,1,0.0008699998902495042,0.914599840944793,0,0.0003040045263543801,0,0,0,0
2255,2255,4073261.786660116,-4073720.244210391,3365402.5553155467,2757.389014101022,-2756.4798312067323,-6674.045249863419,53.099999999999994,6671773.7652851995,1,0.0008699998902495042,0.9140775931792635,0,0.0003041475679194802,0,0,0,0
2256,2256,4076016.4415145623,-4076473.989574478,3358726.253059446,2751.920078571301,-2751.0102809516184,-6678.55776886943,53.099999999999994,6671773.755394783,1,0.0008699998902495042,0.9135561701352213,0,0.000304290487731742,0,0,0,0
